World War II Database,
Name,Class,Country,Year of Launch
Louisville,Northampton-class Heavy Cruiser,United States,1930
Marblehead,Omaha-class Light Cruiser,United States,1923
Marseillaise,La Galissonni�re-class Light Cruiser,France,1935
Mauritius,Crown Colony-class Light Cruiser,United Kingdom,1939
Maxim Gorkiy,Kirov-class Light Cruiser,Russia,1938
Maya,Takao-class Heavy Cruiser,Japan,1930
Memphis,Omaha-class Light Cruiser,United States,1924
Miami,Cleveland-class Light Cruiser,United States,1942
Mikuma,Mogami-class Heavy Cruiser,Japan,1934
Milwaukee,Omaha-class Light Cruiser,United States,1921
Minneapolis,New Orleans-class Heavy Cruiser,United States,1933
Mogami,Mogami-class Heavy Cruiser,Japan,1934
Molotov,Kirov-class Light Cruiser,Russia,1939
Montcalm,La Galissonni�re-class Light Cruiser,France,1935
Montpelier,Cleveland-class Light Cruiser,United States,1942
Myoko,Myoko-class Heavy Cruiser,Japan,1927
Nachi,Myoko-class Heavy Cruiser,Japan,1927
Nagara,Nagara-class Light Cruiser,Japan,1922
Naka,Sendai-class Light Cruiser,Japan,1925
Nashville,Brooklyn-class Light Cruiser,United States,1937
Natori,Nagara-class Light Cruiser,Japan,1922
Newcastle,Town-class Light Cruiser,United Kingdom,1936
Ninghai,Ninghai-class Light Cruiser,China,1931
Noshiro,Agano-class Light Cruiser,Japan,1942
N�rnberg,Leipzig-class Light Cruiser,Germany,1934
Oi,Kuma-class Light Cruiser,Japan,1920
Oyodo,Oyodo-class Light Cruiser,Japan,1942
Pasadena,Cleveland-class Light Cruiser,United States,
Pensacola,Pensacola-class Heavy Cruiser,United States,1929
Perth,Leander-class Light Cruiser,Australia,1934
Phoenix,Brooklyn-class Light Cruiser,United States,1938
Pinghai,Ninghai-class Light Cruiser,China,1935
Pola,Zara-class Heavy Cruiser,Italy,
Primauguet,Duguay-Trouin-class Light Cruiser,France,
Prinz Eugen,Admiral Hipper-class Heavy Cruiser,Germany,
Quincy (Baltimore-class),Baltimore-class Heavy Cruiser,United States,
Quincy (New Orleans-class),New Orleans-class Heavy Cruiser,United States,1935
Raleigh,Omaha-class Light Cruiser,United States,
Saint Louis,Saint Louis-class Light Cruiser,United States,1938
Saint Paul,Baltimore-class Heavy Cruiser,United States,1944
Sakawa,Agano-class Light Cruiser,Japan,1944
Salt Lake City,Pensacola-class Heavy Cruiser,United States,1929
San Diego,Atlanta-class Light Cruiser,United States,1941
San Francisco,New Orleans-class Heavy Cruiser,United States,
San Juan,Atlanta-class Light Cruiser,United States,1941
Sendai,Sendai-class Light Cruiser,Japan,1923
Suffren,Suffren-class Heavy Cruiser,France,
Suzuya,Mogami-class Heavy Cruiser,Japan,1934
Sydney,Leander-class Light Cruiser,Australia,1934
Takao,Takao-class Heavy Cruiser,Japan,1930
Tama,Kuma-class Light Cruiser,Japan,1920
Tatsuta,Tenryu-class Light Cruiser,Japan,1918
Tenryu,Tenryu-class Light Cruiser,Japan,1918
Tone,Tone-class Heavy Cruiser,Japan,1937
Tongji,Tongji-class Light Cruiser,China,
Tourville,Duquesne-class Heavy Cruiser,France,
Trento,Trento-class Heavy Cruiser,Italy,1927
Trieste,Trento-class Heavy Cruiser,Italy,1926
Tuscaloosa,New Orleans-class Heavy Cruiser,United States,1933
Vincennes,New Orleans-class Heavy Cruiser,United States,1936
Voroshilov,Kirov-class Light Cruiser,Russia,1937
Yahagi,Agano-class Light Cruiser,Japan,1942
Yingrui,Zhaohe-class Protected Cruiser,China,1911
Yubari,Yubari-class Light Cruiser,Japan,1923
Yura,Nagara-class Light Cruiser,Japan,1922
Zara,Zara-class Heavy Cruiser,Italy,1930
Zhaohe,Zhaohe-class Protected Cruiser,China,1911
�mile Bertin,�mile Bertin-class Light Cruiser,France,1933
