Name,Description
Operation Aufbau Ost,1940,German preparations for Operation Barbarossa
Operation Ausladung,1943,German offensive near Tunis, Tunisia in conjunction with Operation Ochsenkopf
Operation B,1940,German attack on the Maginot Line on the German-French border; part of Fall Rot
Operation B,1941,Japanese invasion of Sarawak, Borneo
Operation B,1942,Japanese invasion of Burma
Operation Bamberg,1942,German anti-partisan operation in Bobruisk, Belorussia in conjunction with Operation München I
Operation Ban-Go,1944,Japanese defensive operation at the Irrawaddy River in Burma
Operation Barbarossa,1941,German invasion of the Soviet Union
Operation Beethoven,1941-1945,German program to develop composite aircraft
Operation Beowulf I,1941,Planned German offensive of the Baltic States
Operation Beowulf II,1941,German offensive of the Baltic States
Operation Bergwiese,1944,Axis anti-partisan operation on the Primošten Peninsula in the Independent State of Croatia
Operation Bergwind,1945,Axis anti-partisan operation at the Moslavacka Mountains southeast of Zagreb in the Independent State of Croatia
Operation Berlin,1941,German commerce raid in the Atlantic Ocean performed by Scharnhorst and Gneisenau
Operation Bernhard,1940,German mining off Dover, England, Britain
Operation Bernhard,1941,German plan to destablize British economy with counterfeit British banknotes
Operation Berta,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Beta,1942,Axis anti-partisan operation in Yugoslavia
Operation Bettelstab,1942,Planned German offensive at Leningrad, Russia
Operation Biene,1940,German attack on Alsten Island and Sandnessjøen, Norway; part of Operation Weserübung
Operation Bienenhaus,1944,Axis anti-partisan operation in the Moslavacka Mountains in the Independent State of Croatia
Operation Bilo gora,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Bilo gora Ost,1943,Axis anti-partisan operation in the Bilo gora Mountains in the Independent State of Croatia
Operation Birke,1944,German plan to withdraw from northern Finland prior to the Lapland War
Operation Birkhahn,1945,German evacuation of Norway
Fall Blau,1935,German defense planning on the eastern border, in tandem with Fall Rot
Fall Blau,1938,German air force research; later renamed Planstudie 39
Fall Blau,1942,German attack against Voronezh, Russia
Operation Blaufuchs 1,1941,Staging of German forces from Germany to northern Finland, part of Operation Silberfuchs
Operation Blaufuchs 2,1941,Staging of German forces from Norway to northern Finland, part of Operation Silberfuchs
Operation Blei,1944,German operations in Romania
Operation Blitz,1944,Axis anti-partisan operation in the Našice-Ðakovo region of Slovenia, Yugoslavia
Operation Blitzableiter,1939-1945,German bacteriological weapons research
Fall Blume I,1944,German defense plan in case of an Allied invasion of Northern France
Fall Blume II,1944,German defense plan in case of an Allied invasion of Southern France
Operation Blücher,1942,German attack on the Strait of Kerch and Rshev, Russia in the Caucasus region; part of Fall Blau
Operation Blücher II,1942,German attack on the Strait of Kerch in the Caucasus region in Southern Russia; part of Fall Blau
Operation Bodden,1937-1943,German Abwehr intelligence gathering system in Spain and Morocco
Operation Bodenplatte,1945,German air raid against Allied airbases in the Netherlands and Belgium in support of Wacht am Rhein
Operation Bogdanow,1941,German construction operation to build rail bridges between Lida and Molochtschno in Belorussia
Operation Brandfackel,1944,Axis anti-partisan operation in the Kozara Mountains in the Independent State of Croatia
Operation Brandung,1941,Axis attack toward El Alamein, Egypt
Fall Braun,1940,German attacks against the Maginot Line on the French-German border in conjunction with Fall Grün
Operation Braun,1942,German build-up of defenses in Tunis, Tunisia in response to Allied Operation Torch
Operation Braun,1943,German anti-partisan operation in Yugoslavia
Operation Braunschweig,1942,German attack toward Stalingrad and the general Caucasus region in Southern Russia; part of Fall Blau
Operation Braunschweig,1944,German anti-partisan operation in the Istria Peninsula, Yugoslavia
Operation Bremen,1940,German attack in Norway; part of Operation Weserübung
Operation Brunhild,1943,Planned German evacuation from the Caucasus region in Southern Russia
Operation Brückenschlag,1942,German attempt to break the Russian envelopment of German troops in Demyansk, south of Leningrad, Russia
Operation Burdock,1943,German anti-partisan operation in Russia
Operation Bussard,1942,German offensive in the Caucasus region of Southern Russia
Operation Büffel,1940,German air operation to relieve troops in Narvik, Norway
Operation Büffel-Bewegung,1943,German evacuation of Rshev, Russia
Operation C,1942,Japanese reconnaissance and raid operations in the Indian Ocean
Operation Caesar,1945,Failed transfer of technical plans and strategic materials from Germany to Japan, using submarine U-864
Operation Cannae,1943,German occupation of Zagreb, Sisak, and Bjelovar in Yugoslavia
Operation Cannae,1944,Axis anti-partisan operation in the area between the Sava and Drava Rivers in the Independent State of Croatia
Operation Capri,1942,Axis counterattack at Medenine, Tunisia
Operation Cardaci,1943,Axis anti-partisan operation near Cardaci in the Independent State of Croatia
Operation Casanova,1944,Axis anti-partisan operation in the Independent State of Croatia utilizing German aircraft to deceive partisan fighters
Operation Castigo,1941,German aerial bombing of Belgrade, Yugoslavia
Operation Christrose,1944,Early name for Wacht am Rhein
Operation Clausewitz,1942,Second phase of the German summer offensive in the Caucasus region of Southern Russia
Operation Cottbus,1942,German anti-partisan operation in Polotsk, Lepel, and Borisov in Belorussia
Operation Cyrill,1943,Axis anti-partisan operation at the Glogovnica Canal on the Casma River in the Independent State of Croatia
Operation D,1942,Japanese invasion of the Andaman Islands
Operation Dampfhamm,1942,Planned German third phase of the German summer offensive in the Caucasus region of Southern Russia
Operation Dan-Go,1944,Japanese operation after the failed Operation U-Go offensive in India
Operation Delphin,1943,German anti-partisan operation in the Dalmatian islands in Adriatic Sea
Operation Delphin,1943,German withdrawal from Saaremaa, Estonia
Operation Delta,1943,German anti-partisan operation in Western Greece
Operation Derfflinger,1942,Canceled German pincer operation against Ostazchkov, Russia
Operation Dirschau,1939,German operation to safeguard the rail bridge at Tczew, Poland during the invasion
Operation Domino,1943,The second aborted German Arctic sortie by Scharnhorst, Prinz Eugen, and destroyers
Operation Donnerkeil,1942,German aircraft cover for Operation Cerberus
Operation Donnerkeil,1943,German anti-partisan operation in Yugoslavia
Operation Donnerschlag,1942,Planned German break-out movement from Stalingrad, Russia
Operation Donnerschlag,1943,German anti-partisan operation along the river Obdol in Russia
Operation Doppelkopf,1944,German offensive to relieve troops fighting in Latvia
Operation Doppelschlag,1942,German anti-shipping operation off Novaya Zemlya by Admiral Scheer and Admiral Hipper
Operation Doppelsprung,1944,Planned German evacuation of bridgeheads at the river Maas (Meuse) west of Arnhem, the Netherlands
Operation Dora,1942,German operation to disrupt British supply lines in Southern Libya
Operation Draufgänger,1943,German anti-partisan operation in Russia
Operation Draufgänger,1944,German anti-partisan operation in Montenegro, Yugoslavia and in Northern Albania
Operation Dreiecke,1942,German anti-partisan operation in Bryansk, Russia
Operation Dreznica,1944,Axis anti-partisan operation in the Velika Kapela Mountains in the Independent State of Croatia to secure a supply route
Operation Dubrovnik,1944,Axis anti-partisan operation along the road between Zagreb and Varazdin in the Independent State of Croatia
Operation Dubrovnik II,1944,Axis anti-partisan operation along the road between Zagreb and Varazdin in the Independent State of Croatia; continuation of Operation Dubrovnik
Operation Dünkirchen I,1944,Axis anti-partisan operation in the Krašic region in the Independent State of Croatia
Operation Dünkirchen II,1944,Axis anti-partisan operation in the Krašic region in the Independent State of Croatia; continuation of Operation Dünkirchen I
Operation E,1941,Japanese invasion of Thailand and Northeast Malaya
Operation Edelwei,1942,Axis attack of the oil-rich Caucasus region in southern Russia; part of Operation Braunschweig
Operation Eiche,1943,German operation to rescue Benito Mussolini from Allied imprisonment
Operation Eilbote I,1943,German attacks on Allied positions at the Dorsal Mountains in Tunisia
Operation Eilbote II,1943,Canceled German attacks on Allied positions at the Dorsal Mountains in Tunisia following Operation Eilbote I
Operation Einhorn,1944,German anti-partisan operation in Greece
Operation Eisb,1943,German anti-partisan operation in Bryansk, Russia
Operation Eisb,1943,German invasion of Kos, Greece
Operation Eisen,1940,German commando operation to occupy the bridge over the Albert Canal in Belgium
Operation Eisenhammer,1943,Planned German aerial bombing operation against power generators in Moscow and Gorky, Russia
Operation Eisfjord,1943,German naval bombardment of Spitzbergen, Svalbard Islands, Norway
Operation Eissto,1941,German air raids against Russian Baltic Fleet at Kronstadt and Leningrad, Russia
Operation Elster,1944,German agents infiltration into the US to gather intelligence on Manhattan Project
Operation Emil,1944,Axis anti-partisan operation west of Knin in the Independent State of Croatia
Operation Ernteeinbringung,1944,German anti-partisan operation east of Zagreb, Yugoslavia
Operation Erntefest I,1943,German anti-partisan operation west of Ossipovichi, Russia
Operation Erntefest II,1943,German anti-partisan operation near Minsk and Slutsk, Belorussia
Fall Falke,1940,German attacks against the Maginot Line on the French-German border; part of Fall Grün
Operation Falke,1944,Axis anti-partisan operation in the Papuk Mountain and Bilo gora Mountains in the Independent State of Croatia
Fall Falke,1944,German defense plan in case of an Allied invasion of Norway
Operation Felix,1940,Planned German invasion of Gibraltar via the Iberian Peninsula
Operation Ferdinand,1943,German anti-partisan operation in the Fruška gora Mountains in Syrmia in the Independent State of Croatia
Operation Ferkel,1943,Axis anti-partisan operation in the mountains northeast of Tuzla in the Independent State of Croatia
Operation Ferkel,1943,German anti-partisan operation in Bryansk, Russia
Operation Festung,1940,German paratrooper attack on the Hague, Rotterdam, Dordrecht, and Moerdijk in the Netherlands; part of Fall Gelb
Operation Feuerstein,1943,German defensive build-up of the Italian Alpine passes
Operation Feuerwehr,1944,Failed German anti-partisan operation in Macedonia, Yugoslavia
Operation Feuerzange,1944,German anti-partisan operation in the Dalmatian islands in Adriatic Sea
Operation Feuerzauber,1936-1939,German transfer of weapons and personnel to Francisco Franco's forces in the Spanish Civil War
Operation Feuerzauber,1942,Planned German attack on Leningrad, Russia; renamed to Operation Nordlicht
Operation Feuerzauber,1944,German destruction of bridges near Florence, Italy
Operation Fischfang,1944,German counterattack to the Allied invasion of Anzio, Italy
Operation Fischreiher,1942,German attack on Stalingrad and Astrakhan, Russia; part of Fall Blau
Operation Fledermaus,1941,German aerial bombing of British airfields
Operation Fliederblüte,1943,German attack of British units at the 'Banana Ridge' in Tunisia
Operation Fliegenfänger,1944,German anti-partisan operation in Memici and Osmaci in Bosnia, Yugoslavia
Operation Foca,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Forelle,1944,German operation to disrupt Russian supply lines on the Danube River near Budapest, Hungary
Fall Forelle I,1944,German defense plan in case of an Allied invasion of the Balkans via the Adriatic Sea
Fall Forelle II,1944,German defense plan in case of an Allied invasion of the Balkans via the Aegean Sea
Operation Franz,1943,German commando operation against British supply lines in Iran
Operation Fredericus I,1942,German attack on Kharkov, Russia
Operation Fredericus II,1942,German attack on Odessa, Ukraine as a follow-up operation to Operation Fredericus I
Operation Freiheit,1945,German destruction of a bridge on the Oder River
Operation Freischütz,1943,German anti-partisan operation
Operation Freischütz,1944,Canceled German operation to take the island of Vis off Croatia, Yugoslavia
Operation Freischütz,1944,German relief operation for troops trapped near Minsk, Belorussia
Operation Frieda,1942,German anti-partisan operation
Operation Fritz,1941,Planned German invasion of the Soviet Union; later abandoned in favor of Operation Barbarossa
Operation Fronttheater,1943,The first aborted German Arctic sortie by Scharnhorst, Prinz Eugen, and destroyers
Operation Froschlaich,1941,German air raids against Russian Navy at Leningrad, Russia; part of Operation Eisstoss
Operation Fruška gora,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Frühling,1944,German anti-partisan operation in the Jura Mountains in Southern France
Operation Frühlingsanfang,1944,German anti-partisan operation at Primorska and Gorenjska in Slovenia, Yugoslavia
Operation Frühlingserwachen,1945,German counter-attack against Russian troops near Budapest, Hungary
Operation Frühlingsfest,1944,German anti-partisan operation in Lepel, Belorussia as a follow-up operation of Operation Regenschauer
Operation Frühlingssturm,1945,Axis anti-partisan operation along the Danube River in the Independent State of Croatia
Operation Frühlingswetter,1944,Axis anti-partisan operation in the area between Knin and Kistanje in the Independent State of Croatia to secure a supply route
Operation Frühlungswind,1943,Axis attack on Faid Pass near Sidi bou Zid, Tunisia
Operation FS,1944,Canceled Japanese plan to isolate Australia by capturing New Caledonia, Samoa, and Fiji
Operation FU,1941,Japanese invasion of Indochina
Operation Fu-Go,1944,Japanese aerial bombing of the United States via balloons
Operation Fuchsjagd,1944,Axis anti-partisan operation in the Ivanzcica Mountains in the Independent State of Croatia
Operation Fuchsjagd III,1944,Axis anti-partisan operation in the Kalnik Mountains in the Independent State of Croatia
Operation Föhn,1944,Axis anti-partisan operation west of Banja Luka to open the road between Bosanski Novi and Prijedor in the Independent State of Croatia
Operation G,1940,German paratrooper attack on Ghent in the Netherlands; part of Fall Gelb
Operation Gamma,1943,German anti-partisan operation in Yugoslavia
Operation Gaudo,1941,Italian naval action against British ships north of Crete, Greece
Operation Geier,1940,German attack of the Maginot Line on the French-Germany border north of Kehl, Germany; part of Fall Grün
Operation Geiserich,1943,Axis anti-partisan operation in Split on the coast of the Independent State of Croatia
Fall Gelb,1940,German invasion of the Low Countries of Belgium, the Netherlands, and Luxembourg
Operation Gemsbock,1944,German anti-partisan operation in the region near the Greek-Albanian border before Operation Einhorn
Operation Georg,1942,Planned German attack on Leningrad, Russia; renamed to Operation Feuerzauber
Operation Gertraud,1945,Planned German aerial bombing of hydropower plants east of Moscow, Russia
Operation Gertrud,1942,Planned German response in case of Turkey joining the Allies
Operation Gesellenprüfung,1943,German minelaying operation via S-Boats
Operation Gisella,1942,Planned German invasion of the Iberian peninsula; revised from Operation Isabella
Operation Gneisenau,1940,German diversionary attack on two bridges on the French-German border; part of Fall Grün
Operation Granit,1940,German paratrooper attack on Belgian Fort Eben-Emael
Operation Greif,1942,German anti-partisan operation in Orsha and Witebsk, Belorussia
Operation Greif,1944,German infiltration of Allied rear areas using Allied uniforms; part of Wacht am Rhein
Operation Großer Schlag,1944,Planned German mass-deployment of fighters against Allied bombers
Fall Grün,1938,German plan for invasion of Czechoslovakia
Fall Grün,1940,German attacks against the Maginot Line on the French-German border in conjunction with Fall Braun
Fall Grün,1940,German plan for a diversionary invasion of Ireland in support of Operation Seelöwe
Operation Grün,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Grün II,1943,Axis anti-partisan operation at the Kupa River between the Sava and the Farkašic-Kravarsko line in the Independent State of Croatia
Operation Grüne Bewegung,1940,Planned German landing at Brighton, England, Britain; part of Operation Seelöwe
Operation Grünpfeil,1940,German occupation of the Channel Islands
Operation Grünspecht,1942,German anti-partisan operation in Bryansk, Russia
Operation Gustav,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Günther,1943,German anti-partisan operation in Smolensk, Russia prior to Operation Zitadelle
Operation Götz v. Berlichingen,1941,German air raids against Russian Navy at Leningrad, Russia; part of Operation Eissto
Operation H,1942,Japanese invasion of Celebes
Operation Ha-Go,1944,Japanese action to isolate and destroy Anglo-Indian forces at Arakan, Burma; precursor to Operation U-Go
Operation Habicht,1940,German diversionary attack on Mulhouse, France; part of Fall Grün
Operation Habicht,1943,German anti-partisan operation
Operation Hagen,1943,German operation in the Caucasus region of Southern Russia
Operation Hagen Bewegung,1943,German evacuation operation near Oryol, Russia
Operation Haifisch,1943,German anti-partisan operation in Trogir in Croatia, Yugoslavia
Operation Haifisch I,1941,German deceptive operation to hint a false invasion of Scotland and England, Britain from Norway before the start of Operation Barbarossa
Operation Haifisch II,1941,German deceptive operation to hint a false invasion of Scotland and England, Britain from Norway before the start of Operation Barbarossa
Operation Hamburg,1943,German anti-partisan operation in Bryansk, Russia
Fall Hanna,1944,German defense plan in case of an Allied invasion of Denmark
Operation Hannibal,1941,German invasion of the island of Lemnos, Greece
Operation Hannibal,1941,German operation to take the bridge over the Corinth Canal, near Corinth, Greece
Operation Hannibal,1945,German evacuation of East Prussia, Germany
Operation Hannover I,1942,German operation near Vyazma, Russia
Operation Hannover II,1942,German anti-partisan operation in the upper Dnieper River region (Belorussia and Ukraine)
Operation Harpune,1941,German deceptive operation to hint a false invasion of southern England, Britain from France before the start of Operation Barbarossa
Operation Hartmut,1940,German submarine operations in Norwegian waters
Operation Hasenjagd,1943,German anti-partisan operation in Gomel, Belorussia
Operation Haudegen,1944,German intelligence gathering in Spitzbergen, Norway
Operation Hecht,1942,First German submarine wolfpack raid in the North Atlantic Ocean
Operation Heide,1944,German flooding of parts of the Netherlands to hinder Allied advance; later renamed to Operation Storch
Operation Heinrich,1944,German deceptive operation in support of Wacht am Rhein
Operation Herbstgewitter I,1943,German anti-partisan operation at Peljesac peninsula in the Croatia, Yugoslavia
Operation Herbstgewitter II,1943,German anti-partisan operation at Peljesac peninsula in the Croatia, Yugoslavia
Operation Herbstgewitter III,1943,German anti-partisan operations at the islands of Mljet, Hvar, Brac, and Solta off the coast of Croatia, Yugoslavia
Operation Herbstgewitter IV,1943,German anti-partisan operations at the islands of Mljet, Hvar, Brac, and Solta off the coast of Croatia, Yugoslavia
Operation Herbstlaub,1942,Canceled German operation in the Caucasus region of Southern Russia, near Krasnoarmeisk, Ukraine and Beketovka, Russia
Operation Herbstnebel,1944,Rejected German plan to withdraw German troops in Italy behind the Po River
Operation Herbstreise,1940,Planned German diversionary invasion of Scotland, Britain; part of Operation Seelöwe
Operation Herbstzeitlose,1942,Canceled German plan to advance to the Don and Volga Rivers in the Caucasus region of Southern Russia
Operation Herkules,1942,Canceled German airborne invasion of Malta
Operation Hermann,1943,German anti-partisan operation in Vilnius and Polotsk, Belorussia
Operation Hermann,1945,German attack on British air units in Belgium and the Netherlands
Operation Hermelin,1943,German cruiser Lützow operation in the Baltic Sea
Operation Heu-Aktion,1944,German enslavement of East European children between the age of 10 and 15 to work in the German armament industry
Operation Hikari,1945,Japanese reconnaissance of Ulithi Atoll, Caroline Islands; part of Operation Arashi
Operation Himmler,1939,German staged attacks in Poland to justify invasion; part of Fall Weiss
Operation Hinein,1944,German submarine operation against an Allied convoy in the North Atlantic Ocean
Operation Hohes Venn,1944,German paratrooper operation as a part of Operation Greif of Wacht am Rhein
Operation Holzauge,1942,German activities in Greeland
Operation Hornbläser,1942,Planned German attack on Alexandria harbor, Egypt
Operation Hornung,1943,German anti-partisan operation
Operation Horrido,1944,German anti-partisan operation in Thessaloniki, Greece
Operation Hubertus,1943,German anti-partisan operation in Pindus Mountains region of Greece
Operation Hummel,1940,German intelligence gathering for Operation Seelöwe
Operation Hummer,1940-1945,German infiltration of Britain
Operation Hundesohn,1944,German occupation of Sofia, Bulgaria
Operation Husar,1943,Canceled German anti-shipping operation in Kara Sea by Lützow
Operation I,1943,Japanese air raid against Allied advances on New Guinea and Guadalcanal, Solomon Islands
Operation Ibex,1944,German air raids on London and other nearby British cities
Operation Ichi-Go,1944,Japanese attack in Eastern China to link up Northern China and Indochina
Operation Ikarus,1940,Planned German invasion of Iceland in response to British Operation Fork; originally planned to launch in conjunction with Operation Seelöwe
Operation Ilona,1942,Planned German invasion of the Iberian peninsula; revised from Operation Isabella
Operation Iltis,1944,German anti-partisan operation in Thessaloniki, Greece
Operation Ingeborg,1944,Axis anti-partisan operation east of Karlovac and north of the Kupa River in the Independent State of Croatia
Operation Insel,1943,German action at Hydra Island, Greece
Operation Irak,1941,German deployment of aircraft to Iraq
Operation Isabella,1941,Planned German invasion of the Iberian peninsula
Operation Istrien,1943,German anti-partisan operation in Northern Italy
Operation Ivan,1943,Axis anti-partisan operation in the Moslavacka Mountains in the Independent State of Croatia
Operation J,1942,Japanese invasion of the Dutch East Indies
Operation Jacob,1942,German anti-partisan operation in Uzda, Belorussia
Operation Jajce,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Jajce,1944,Axis anti-partisan operation in the Vrbas Valley in the Independent State of Croatia
Operation Jajce II,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Jajce III,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Judas,1944,German anti-partisan operation in Bulgaria
Operation Juno,1940,German naval operation against British shipping off Narvik, Norway
Operation Juno,1940,German naval operation to disrupt Allied supplies to Norway
Operation K,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation K-1,1942,Japanese reconnaissance and air raid on Pearl Harbor, Hawaii, United States
Operation K-2,1942,Japanese reconnaissance and air raid on Pearl Harbor, Hawaii, United States
Operation Ka,1942,Japanese plan to destroy the American fleet and recapture Guadalcanal, Solomon Islands
Kampf um Rom,1944,German defense plan for the Nettuno area in Italy
Operation Kan-Go,1944,Japanese defensive plan in Southern Burma
Operation Karin,1943,German deployment of naval vessels in the English Channel
Operation Karlsbad,1941,German anti-partisan operation in the Berezina River region of Belorussia
Operation Karlshafen,1940,German attack against Kristiansand, Norway; part of Operation Weserübung
Operation Kastanie,1944,Axis anti-partisan operation in the Prijedor-Sanski Most-Omarska area in the Independent State of Croatia
Operation Kasten,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Kathleen,1940,Planned German invasion of Ireland
Operation Kaub,1944,Axis anti-partisan operation at the Sava River in the Independent State of Croatia, destroying all boats and ferries
Operation KE,1943,Japanese evacuation of Guadalcanal, Solomon Islands
Operation KE,1943,Japanese evacuation of Kiska, Aleutian Islands, Alaska, United States
Operation Ken,1945,Planned Japanese operation to use transports to land suicide troops on American airfields in the Mariana Islands
Operation Ketsu-Go,1945,Japanese defense plan against potential American invasion of the Japanese home islands
Operation Kiebitz,1943,German POW rescue operation via submarine into the St. Lawrence River in Canada
Operation Kikusui,1945,Japanese special attack against American ships off Okinawa, Japan
Operation Klabautermann,1942,German operation against Russian supply lines near Leningrad, Russia
Operation Klara,1943,Axis anti-partisan operation in the Velika Kladuša area in the Independent State of Croatia
Operation Klašnice,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Klette I,1942,German anti-partisan operation in Bryansk, Russia
Operation Kon,1944,Japanese defensive operation on Biak Island, New Guinea
Operation Kon-Go,1945,Planned Japanese offensive against American ships using manned torpedoes
Operation Konrad,1945,Axis attack near Budapest, Hungary to relieve the sourrnded city
Operation Konstantin,1943,German seizure of Italian equipment and territory upon the Italian surrender
Operation Kopenhagen,1943,German defensive build-up of the French and Italian Alpine passes
Operation Koralle,1944,German anti-partisan operation in the Sporades Islands, Greece; previously named Operation Neptun
Operation Kormoran,1943,German anti-partisan operation in Minsk and Borisov, Belorussia
Operation Kornblume,1944,Axis anti-partisan operation in the Fruška gora Mountains in the Independent State of Croatia
Operation Kozara,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Krause I,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Krause II,1943,Axis anti-partisan operation in the Independent State of Croatia
Operation Kreml,1942,German deceptive operation in support of Operation Edelwei
Operation Kreuzotter,1944,German anti-partisan operation in Greece
Operation Kreševo,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Krimhilde Bewegung,1943,German evacuation of the Caucasus region in Southern Russia
Operation Kuckucksei,1943,Canceled German attack on British units at the Fondouk Pass, Tunisia
Operation Kugelblitz,1943,Axis anti-partisan operation in the area between Rogatica and Vlasenica in the Independent State of Croatia
Operation Kugelblitz,1943,German anti-partisan operation near Vitebsk, Belarus
Operation L,1942,Japanese landing operation in Palembang, Sumatra
Operation Lachsfang,1942,Planned combined German and Finnish attack against Kandalaksha and Belomorsk, Russia
Operation Landbrücke,1942,German attempt to hold a narrow connection near Demyansk, south of Leningrad, Russia to prevent envelopment
Operation Landsturm,1943,German anti-partisan operation in Makarska in Croatia, Yugoslavia
Operation Landwirt,1944,German submarine operation against the Allied fleet off France during the Normandy invasion
Operation Lauffeuer,1944,Axis anti-partisan operation in the area south of Sid and near Ilok in Syrmia in the Independent State of Croatia
Operation Laura,1944,Proposed German evacuation of Courland, Latvia
Operation Lawine,1945,Axis anti-partisan operation in the Lašva Valley and Travnik the Independent State of Croatia
Operation Leander,1943,German anti-partisan operation across the Lika Mountains to Zadar on the coast of the Independent State of Croatia after the Italian surrender
Operation Lehrgang,1943,German evacuation of Sicily, Italy over the Strait fo Messina
Operation Lel,1941,German diversionary plan in support of Operation Beowulf II; part of Operation Nordwind
Operation Leopard,1943,German landings on Leros of the Dodecanese Islands, Greece
Operation Lichtermeer,1940,German air attack against British airfields for bombers
Operation Lichtschlag,1942,Canceled German attack north of Cholm, Russia near the Lovat and Kunya Rivers
Operation Lika,1943,Planned German anti-partisan operation against Josip Broz Tito in Yugoslavia
Operation Lila,1942,German attempt to capture French fleet at Toulon, France
Operation Loge,1940,German 65-day air offensive against London, England, Britain
Operation Luchs,1940,Planned German breakthrough between Breisach and Strasbourg, France; part of Fall Grün
Operation Lucie,1940,Planned German invasion of the Dutch island of Texel in the North Sea
Operation Ludwig,1944,German plan against an Allied landing at Livorno, Italy
Operation Luftparade,1940,German night raid against British air bases
Operation Lug,1942,Axis anti-partisan operation in the Independent State of Croatia
Operation Lupo,1942,Italian convoy missions to Tripoli, Libya
Operation Lüttich,1944,German counter-offensive at Mortain, France in response to Operation Cobra
Operation Löwe,1940,Planned German invasion of Britain; precursor of Operation Seelöwe
Operation M,1941,Japanese invasion of the Philippine Islands
M.43,1942,Italian convoy missions to Tripoli, Libya
Operation Maibaum,1944,German anti-partisan operation in Vlasenica in Bosnia, Yugoslavia
Operation Maigewitter,1943,German anti-partisan operation
Operation Maigewitter,1944,German anti-partisan operation in Northern Greece
Operation Maigewitter,1945,German anti-partisan operation in Tuzla in Bosnia, Yugoslavia
Operation Maikäfer,1942,German anti-partisan operation in Babruysk, Belorussia
Operation Malaria,1942,German anti-partisan operation in Osipovichi, Belorussia
Operation Manjaca Mountains,1942,Axis anti-partisan operation in the Independent State of Croatia
Fall Marder,1944,German defense plan in case of an Allied invasion of Italy; activated after Allies launched Operation Shingle
Fall Marder I,1944,German defense plan in case of an Allied invasion of Italy via the Ligurian Sea; part of Fall Marder
